,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
39073,0.513,0.5418,0.5536,0.5589,0.5745,0.6329,0.6579,0.6636,0.5916,0.658,0.6726,0.6655,0.5335,0.5974,0.6266,0.6403,0.5865,0.5832,0.6602,0.6369,0.6039,0.6792,0.7072,0.6886,0.623,0.6848,0.7021,0.6821,0.6169,0.6209,0.6669,0.634,0.6906,0.6754,0.6955,0.6913,0.6875,0.7089,0.7106,0.7176,0.6911,0.7066,0.7106,0.7151,0.7037,0.7019,0.7079,0.7118,0.5879,0.605,0.6354,0.6355,0.6548,0.6774,0.6942,0.6873,0.6632,0.6907,0.7083,0.7009,0.633,0.6457,0.6676,0.665
39074,0.5243,0.5712,0.5732,0.5801,0.6135,0.6853,0.7003,0.7009,0.6212,0.6926,0.6937,0.6931,0.573,0.6559,0.6676,0.6774,0.5484,0.545,0.6369,0.604,0.5701,0.6458,0.6785,0.6631,0.5836,0.6516,0.6704,0.6572,0.5741,0.5868,0.6318,0.6068,0.6816,0.6693,0.6909,0.6867,0.6843,0.7138,0.718,0.7224,0.6843,0.7125,0.712,0.7231,0.7006,0.7128,0.7137,0.721,0.5632,0.5691,0.5941,0.5997,0.6366,0.6414,0.6659,0.657,0.6452,0.6553,0.6806,0.6749,0.6049,0.6039,0.6328,0.6292
39075,0.472,0.5192,0.5243,0.5328,0.5619,0.6333,0.6479,0.648,0.556,0.6395,0.6442,0.6401,0.5166,0.6145,0.6273,0.6351,0.6519,0.6432,0.7056,0.6876,0.6519,0.7185,0.7382,0.7205,0.6587,0.7215,0.7256,0.7125,0.6614,0.6864,0.7096,0.6891,0.6741,0.6332,0.6585,0.652,0.6963,0.6952,0.7005,0.6968,0.6954,0.6958,0.6969,0.6981,0.7008,0.6792,0.6889,0.6897,0.5748,0.5786,0.5948,0.5912,0.6207,0.6421,0.6568,0.6545,0.6451,0.6631,0.675,0.6706,0.6144,0.6229,0.6404,0.6368
39076,0.4147,0.4562,0.4651,0.4798,0.5296,0.6028,0.615,0.6084,0.5158,0.6007,0.6132,0.6062,0.4794,0.5766,0.5869,0.6039,0.6907,0.6252,0.6829,0.6737,0.7116,0.7123,0.7312,0.7163,0.7041,0.7275,0.7319,0.7189,0.7079,0.6838,0.7084,0.6832,0.6279,0.5708,0.592,0.5935,0.6867,0.6651,0.6748,0.6642,0.6849,0.6653,0.6772,0.6704,0.6827,0.6488,0.6576,0.654,0.5726,0.5277,0.5451,0.5371,0.6274,0.6268,0.6383,0.638,0.6414,0.6371,0.6496,0.6369,0.6115,0.5914,0.6096,0.6058
39077,0.385,0.4333,0.4376,0.4225,0.515,0.6099,0.6297,0.6039,0.5288,0.6257,0.6357,0.6122,0.4556,0.5698,0.5929,0.5846,0.674,0.5509,0.6164,0.6114,0.7084,0.6651,0.6942,0.6806,0.7038,0.699,0.7122,0.6967,0.7064,0.6305,0.6653,0.6397,0.6075,0.5578,0.5834,0.5832,0.6811,0.659,0.6691,0.6616,0.6785,0.6598,0.6704,0.6667,0.6714,0.6333,0.6442,0.6372,0.6263,0.5746,0.5942,0.5829,0.6814,0.6656,0.6754,0.6655,0.6969,0.6977,0.7001,0.6878,0.6674,0.6488,0.6645,0.6502
39078,0.4584,0.4549,0.4581,0.4751,0.6068,0.6436,0.6682,0.6519,0.6242,0.6757,0.6909,0.6678,0.5487,0.6033,0.6303,0.6233,0.6129,0.5114,0.5944,0.5752,0.6663,0.6337,0.6724,0.6511,0.6632,0.6584,0.6924,0.6685,0.6481,0.5708,0.6253,0.597,0.6618,0.5982,0.6276,0.6227,0.7132,0.6875,0.6971,0.6964,0.7177,0.6954,0.7043,0.7017,0.7151,0.6643,0.6697,0.6711,0.5694,0.4922,0.523,0.516,0.6218,0.5769,0.6044,0.5962,0.6436,0.6264,0.6517,0.6329,0.6009,0.5642,0.5935,0.575
39079,0.5191,0.5381,0.5412,0.5501,0.6415,0.6863,0.7053,0.6914,0.6563,0.7048,0.7116,0.7011,0.6079,0.6737,0.6841,0.6793,0.5762,0.5491,0.6338,0.6124,0.6155,0.6651,0.6968,0.6824,0.6127,0.6708,0.6975,0.6829,0.601,0.5949,0.6479,0.6241,0.6726,0.6297,0.657,0.6517,0.6999,0.7064,0.7117,0.7124,0.7038,0.7079,0.7102,0.7141,0.7137,0.689,0.697,0.7008,0.5383,0.4875,0.5159,0.5094,0.5823,0.5602,0.584,0.5827,0.6058,0.6038,0.6316,0.6221,0.5619,0.5397,0.5697,0.5559
39080,0.4961,0.5387,0.5516,0.5648,0.5986,0.6461,0.6663,0.6626,0.6138,0.6647,0.6759,0.6692,0.6058,0.6727,0.6744,0.6809,0.5997,0.6199,0.6785,0.6685,0.6227,0.7148,0.7362,0.7238,0.632,0.7295,0.742,0.7284,0.6304,0.6861,0.7115,0.6945,0.6461,0.5989,0.6261,0.6206,0.6912,0.6777,0.6891,0.6865,0.6932,0.6877,0.6967,0.6949,0.7026,0.6686,0.6767,0.6778,0.5279,0.5025,0.5222,0.5176,0.5645,0.5915,0.6056,0.6068,0.5983,0.6233,0.6398,0.6359,0.5532,0.5608,0.5846,0.5747
39081,0.5109,0.4906,0.4916,0.5301,0.5838,0.6318,0.6352,0.6509,0.6131,0.6658,0.6612,0.6725,0.5627,0.6082,0.6105,0.6372,0.6139,0.5875,0.6607,0.6427,0.6465,0.6918,0.7191,0.7029,0.6396,0.7086,0.7241,0.7068,0.6448,0.6539,0.6917,0.6696,0.691,0.6714,0.6961,0.6852,0.704,0.724,0.7288,0.7303,0.7049,0.7339,0.732,0.7348,0.706,0.7159,0.713,0.7165,0.5514,0.5773,0.585,0.5947,0.5959,0.6512,0.6534,0.653,0.6183,0.6725,0.674,0.6784,0.5901,0.6227,0.6302,0.6354
39082,0.5169,0.5367,0.5376,0.5698,0.5546,0.6034,0.6136,0.6337,0.5648,0.616,0.6176,0.6282,0.567,0.6203,0.6153,0.6452,0.6066,0.6774,0.7116,0.7046,0.5866,0.7365,0.7368,0.7333,0.5917,0.736,0.7363,0.724,0.6039,0.7211,0.7229,0.7154,0.6651,0.6424,0.6691,0.656,0.6703,0.69,0.6954,0.6904,0.6735,0.6987,0.6984,0.6971,0.6815,0.6835,0.6836,0.6811,0.5203,0.5835,0.5884,0.5965,0.5495,0.6505,0.6522,0.6596,0.5861,0.6724,0.6704,0.6781,0.5554,0.6217,0.6253,0.6346
